step,stopping_distance,Radar_distance,speed,steer,gps_x,gps_y,actual_x,actual_y,time,risk_time
80,0.7055884222772708,5.3726163,3.1113780152280044,0.005786353966673558,236.01516723189033,31.773997899460348,235.36822509324125,10.252447217281603,0.24418163299560547,0.0003204345703125
81,0.6066752784224491,5.9593844,2.885062359803684,0.002673742372478967,236.01396178748683,31.626908695560815,235.36822509324125,10.252447217281603,0.24783849716186523,0.0003044605255126953
82,0.4997354837992634,5.1162915,2.6184672687902544,0.009763485845732587,236.01263427292656,31.49285102166368,235.36822509324125,10.252447217281603,0.2489464282989502,0.0002930164337158203
83,0.39798699475533067,4.852064,2.33674593570699,0.002196468674663556,236.01138305223049,31.372719458216494,235.36822509324125,10.252447217281603,0.24454426765441895,0.00030231475830078125
84,0.3221684849690573,4.8275013,2.1024156615130765,0.005976738375007278,236.01043700725063,31.265390532106736,235.36822509324125,10.252447217281603,0.244858980178833,0.0003142356872558594
85,0.2902743604423548,5.2648325,1.9956362958387752,-0.0007772922884850611,236.00915526898294,31.1652335223774,235.36822509324125,10.252447217281603,0.25013089179992676,0.00031256675720214844
86,0.2827498905512456,4.6238565,1.9696011013306958,-0.0018562406705177428,236.00823974157473,31.06668256447366,235.36822509324125,10.252447217281603,0.24928951263427734,0.00034809112548828125
87,0.28946517168562236,5.274873,1.9928527681509085,-0.003791200534392582,236.0071105912949,30.96728470813919,235.36822509324125,10.252447217281603,0.24222445487976074,0.0003247261047363281
88,0.30589130939556014,4.894963,2.048616304950023,-0.001111875745439829,236.0062713578806,30.865243160824942,235.36822509324125,10.252447217281603,0.24767541885375977,0.0003247261047363281
89,0.3353792125071019,4.7048817,2.1450880624341364,0.001925356647845901,236.00546264203794,30.75874967617293,235.36822509324125,10.252447217281603,0.24066805839538574,0.0003616809844970703
90,0.3710482423765126,5.517758,2.2562761101881468,-0.0022381706193440863,236.00477599648178,30.6466865079751,235.36822509324125,10.252447217281603,0.2527048587799072,0.0003902912139892578
91,0.4099649615130286,5.4553056,2.3716490617202943,-0.00017247571724958568,236.0039062454959,30.528876261410268,235.36822509324125,10.252447217281603,0.24424052238464355,0.0002834796905517578
92,0.45169251621586404,5.5614157,2.48942188519376,-0.0019973182278243554,236.00280761278768,30.405263625971727,235.36822509324125,10.252447217281603,0.24170851707458496,0.0002834796905517578
93,0.49602962923082583,5.1432447,2.6087404073703713,0.003687784036011448,236.00190734423015,30.275797097487615,235.36822509324125,10.252447217281603,0.24263811111450195,0.00033783912658691406
94,0.5428161950591398,5.3560133,2.7289994862973863,0.005311254545743934,236.00085448768476,30.140459504736622,235.36822509324125,10.252447217281603,0.2430264949798584,0.00031638145446777344
95,0.5918991698061358,5.7213755,2.84971167133452,0.005828873317212964,235.99987792526304,29.999216521096272,235.36822509324125,10.252447217281603,0.24283361434936523,0.00035262107849121094
96,0.6431664811059056,5.9995728,2.9705629299466163,0.005417361060181389,235.99888610399063,29.852054791172215,235.36822509324125,10.252447217281603,0.2492821216583252,0.00029587745666503906
97,0.6964696511240259,5.7792754,3.091207468518028,0.00479867778197471,235.99734496629924,29.698980038704885,235.36822509324125,10.252447217281603,0.24790620803833008,0.0003027915954589844
98,0.751809555241086,5.15872,3.211670452880821,0.0066308855132044785,235.99560546432744,29.539984625712293,235.36822509324125,10.252447217281603,0.23715949058532715,0.0003268718719482422
99,0.8090873746561931,5.7748985,3.331768116223422,0.007845179785465272,235.99375915079008,29.37506093319666,235.36822509324125,10.252447217281603,0.24194073677062988,0.0003058910369873047
100,0.8682351113282195,6.2772346,3.4514034431551424,0.010075586122350705,235.99185180223918,29.204220399146763,235.36822509324125,10.252447217281603,0.24532365798950195,0.0002720355987548828
101,0.9125228296563487,6.285599,3.5383348093255824,0.007351259398822723,235.9896850541349,29.02835378501916,235.36822509324125,10.252447217281603,0.24786591529846191,0.0003178119659423828
